Entity Name,Entity ID,Fiscal Year,Secured and Unsecured Property Taxes_Functional Revenues_Taxes,Secured and Unsecured Property Taxes_General Revenues_Taxes,Secured and Unsecured Property Taxes_Total Revenues_Taxes,Supplemental Roll Secured and Unsecured Property Taxes_Functional Revenues_Taxes,Supplemental Roll Secured and Unsecured Property Taxes_General Revenues_Taxes,Supplemental Roll Secured and Unsecured Property Taxes_Total Revenues_Taxes,Property Tax In-Lieu of Vehicle License Fees_Functional Revenues_Taxes,Property Tax In-Lieu of Vehicle License Fees_General Revenues_Taxes,Property Tax In-Lieu of Vehicle License Fees_Total Revenues_Taxes,Voter-Approved Indebtedness Property Taxes_Functional Revenues_Taxes,Voter-Approved Indebtedness Property Taxes_Total Revenues_Taxes,Supplemental Roll Voter-Approved Indebtedness Property Taxes_Functional Revenues_Taxes,Supplemental Roll Voter-Approved Indebtedness Property Taxes_Total Revenues_Taxes,Property Taxes – Prior_Functional Revenues_Taxes,Property Taxes – Prior_General Revenues_Taxes,Property Taxes – Prior_Total Revenues_Taxes,Supplemental Roll Property Taxes – Prior_Functional Revenues_Taxes,Supplemental Roll Property Taxes – Prior_General Revenues_Taxes,Supplemental Roll Property Taxes – Prior_Total Revenues_Taxes,Pass-through Property Taxes (ABX1 26)_Functional Revenues_Taxes,Pass-through Property Taxes (ABX1 26)_General Revenues_Taxes,Pass-through Property Taxes (ABX1 26)_Total Revenues_Taxes,Residual Property Taxes (ABX1 26)_Functional Revenues_Taxes,Residual Property Taxes (ABX1 26)_General Revenues_Taxes,Residual Property Taxes (ABX1 26)_Total Revenues_Taxes,Parcel Tax_Functional Revenues_Taxes,Parcel Tax_General Revenues_Taxes,Parcel Tax_Total Revenues_Taxes,Other Property Taxes_Functional Revenues_Taxes,Other Property Taxes_General Revenues_Taxes,Other Property Taxes_Total Revenues_Taxes,"Interest, Penalties, and Delinquent Taxes_Functional Revenues_Taxes","Interest, Penalties, and Delinquent Taxes_General Revenues_Taxes","Interest, Penalties, and Delinquent Taxes_Total Revenues_Taxes",Sales and Use Taxes_Functional Revenues_Taxes,Sales and Use Taxes_General Revenues_Taxes,Sales and Use Taxes_Total Revenues_Taxes,Transportation Taxes – Transit_Functional Revenues_Taxes,Transportation Taxes – Transit_Total Revenues_Taxes,Transportation Taxes – Nontransit_Functional Revenues_Taxes,Transportation Taxes – Nontransit_Total Revenues_Taxes,Transient Occupancy Taxes_Functional Revenues_Taxes,Transient Occupancy Taxes_General Revenues_Taxes,Transient Occupancy Taxes_Total Revenues_Taxes,Franchises_Functional Revenues_Taxes,Franchises_General Revenues_Taxes,Franchises_Total Revenues_Taxes,Business License Taxes_Functional Revenues_Taxes,Business License Taxes_General Revenues_Taxes,Business License Taxes_Total Revenues_Taxes,Real Property Transfer Taxes_Functional Revenues_Taxes,Real Property Transfer Taxes_General Revenues_Taxes,Real Property Transfer Taxes_Total Revenues_Taxes,Utility Users Taxes_Functional Revenues_Taxes,Utility Users Taxes_General Revenues_Taxes,Utility Users Taxes_Total Revenues_Taxes,Construction Development Taxes_Functional Revenues_Taxes,Construction Development Taxes_General Revenues_Taxes,Construction Development Taxes_Total Revenues_Taxes,Admission Tax_Functional Revenues_Taxes – Other,Admission Tax_General Revenues_Taxes – Other,Admission Tax_Total Revenues_Taxes – Other,Parking Tax_Functional Revenues_Taxes – Other,Parking Tax_Total Revenues_Taxes – Other,Employers Payroll Tax_General Revenues_Taxes – Other,Employers Payroll Tax_Total Revenues_Taxes – Other,Other Taxes – Other (Specify)_Functional Revenues_Taxes – Other,Other Taxes – Other (Specify)_General Revenues_Taxes – Other,Other Taxes – Other (Specify)_Total Revenues_Taxes – Other,Total Taxes_Functional Revenues_,Total Taxes_General Revenues_,Total Taxes_Total Revenues_
Farmersville,1264,2018,NULL,353980,353980,NULL,5673,5673,NULL,937559,937559,NULL,NULL,NULL,NULL,NULL,5189,5189,NULL,28889,28889,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1105748,1105748,NULL,NULL,2904158,2904158,NULL,NULL,NULL,NULL,128556,128556,NULL,51599,51599,NULL,9999,9999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,158544,158544,2904158,2785736,5689894
Ferndale,1265,2018,NULL,144674,144674,NULL,2415,2415,NULL,134224,134224,NULL,NULL,NULL,NULL,NULL,1928,1928,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,164899,164899,NULL,NULL,52984,52984,NULL,207783,207783,NULL,39130,39130,NULL,15217,15217,NULL,7998,7998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7173,NULL,7173,60157,718268,778425
Fillmore,1266,2018,NULL,508833,508833,NULL,38921,38921,NULL,1469336,1469336,NULL,NULL,NULL,NULL,NULL,7,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,650244,650244,NULL,6552,6552,NULL,2261064,2261064,279299,279299,249895,249895,NULL,154876,154876,NULL,411931,411931,NULL,134082,134082,NULL,61456,61456,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69790,NULL,69790,598984,5697302,6296286
Firebaugh,1267,2018,NULL,200925,200925,NULL,10633,10633,NULL,630189,630189,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,954441,954441,NULL,NULL,513870,513870,NULL,1925,1925,NULL,118894,118894,NULL,55600,55600,NULL,175998,175998,NULL,870986,870986,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,513870,3019591,3533461
Folsom,1268,2018,NULL,24537818,24537818,NULL,NULL,NULL,NULL,6443088,6443088,35728,35728,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1096015,1096015,NULL,NULL,NULL,NULL,21746321,21746321,NULL,NULL,113138,113138,NULL,2197780,2197780,NULL,820310,820310,NULL,686124,686124,NULL,526629,526629,NULL,NULL,NULL,NULL,15524371,15524371,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2402084,7229,2409313,2550950,73585685,76136635
Fontana,1269,2018,NULL,15639271,15639271,NULL,39810,39810,NULL,18180104,18180104,NULL,NULL,NULL,NULL,NULL,165953,165953,NULL,19854,19854,11928430,NULL,11928430,NULL,7860560,7860560,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87198,87198,NULL,37324315,37324315,NULL,NULL,NULL,NULL,NULL,1009734,1009734,NULL,7190939,7190939,NULL,5898298,5898298,NULL,1066216,1066216,NULL,NULL,NULL,1085875,1246831,2332706,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,13014305,95729083,108743388
Fort Bragg,1270,2018,NULL,407278,407278,NULL,5445,5445,NULL,594259,594259,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1785264,1785264,NULL,NULL,920005,920005,NULL,2619227,2619227,NULL,531421,531421,NULL,187341,187341,NULL,19416,19416,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,52973,0,52973,972978,6149651,7122629
Fort Jones,1271,2018,NULL,84787,84787,NULL,NULL,NULL,NULL,57573,57573,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,102,102,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,114665,114665,NULL,NULL,5305,5305,NULL,NULL,NULL,NULL,8062,8062,NULL,2022,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12044,1932,13976,17349,269143,286492
Fortuna,1272,2018,NULL,478707,478707,NULL,8317,8317,NULL,6311,6311,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4480475,4480475,NULL,NULL,166713,166713,NULL,695921,695921,NULL,324618,324618,NULL,88862,88862,NULL,43474,43474,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2186,NULL,2186,168899,6126685,6295584
Foster City,1273,2018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3683576,3683576,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3431867,3431867,NULL,NULL,709150,709150,NULL,3518966,3518966,NULL,1178643,1178643,NULL,1699425,1699425,NULL,311960,311960,NULL,NULL,NULL,540000,NULL,540000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1249150,13824437,15073587
Fountain Valley,1274,2018,NULL,12610178,12610178,NULL,NULL,NULL,NULL,5608726,5608726,NULL,NULL,NULL,NULL,NULL,64116,64116,NULL,NULL,NULL,NULL,214045,214045,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18505,18505,NULL,12022657,12022657,NULL,NULL,1277868,1277868,NULL,1417918,1417918,NULL,2038343,2038343,NULL,398885,398885,NULL,231641,231641,NULL,NULL,NULL,422005,NULL,422005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11764066,11764066,1699873,46389080,48088953
Fowler,1275,2018,NULL,670656,670656,NULL,9596,9596,NULL,594806,594806,NULL,NULL,NULL,NULL,NULL,17102,17102,NULL,669,669,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,286240,286240,NULL,NULL,NULL,NULL,1269602,1269602,NULL,NULL,407192,407192,NULL,123715,123715,NULL,238044,238044,NULL,30751,30751,NULL,13640,13640,NULL,388316,388316,1047228,NULL,1047228,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1454420,3643137,5097557
Fremont,1276,2018,NULL,67054910,67054910,NULL,NULL,NULL,NULL,21390140,21390140,3235994,3235994,NULL,NULL,NULL,722461,722461,NULL,2618522,2618522,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,937171,937171,NULL,195537,195537,NULL,61930621,61930621,NULL,NULL,11576,11576,NULL,8620269,8620269,NULL,10467485,10467485,NULL,9013480,9013480,NULL,1893591,1893591,NULL,NULL,NULL,35608800,3103157,38711957,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4744625,NULL,4744625,43600995,187947344,231548339
Fresno,1277,2018,NULL,66912003,66912003,NULL,1629464,1629464,NULL,41645748,41645748,11779949,11779949,585196,585196,NULL,3236259,3236259,NULL,2200095,2200095,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1818083,1818083,NULL,81648910,81648910,NULL,NULL,11868219,11868219,NULL,13935727,13935727,NULL,14427284,14427284,NULL,19460401,19460401,NULL,1251084,1251084,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33254,NULL,33254,24266618,248165058,272431676
Fullerton,1278,2018,NULL,28007416,28007416,NULL,789920,789920,NULL,13023162,13023162,NULL,NULL,NULL,NULL,NULL,141988,141988,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40348,40348,NULL,20870186,20870186,2178065,2178065,132271,132271,NULL,3008720,3008720,NULL,4335535,4335535,NULL,1094108,1094108,NULL,711935,711935,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,274860,14610,289470,2585196,72037928,74623124
Galt,1279,2018,NULL,2567550,2567550,NULL,NULL,NULL,NULL,2088775,2088775,NULL,NULL,NULL,NULL,NULL,19647,19647,NULL,59523,59523,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,507,507,NULL,2458173,2458173,NULL,NULL,2233988,2233988,NULL,290221,290221,NULL,573991,573991,NULL,104273,104273,NULL,91721,91721,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1900683,0,1900683,4134671,8254381,12389052
Garden Grove,1280,2018,NULL,14620340,14620340,NULL,455305,455305,NULL,16957517,16957517,11810371,11810371,305014,305014,NULL,110663,110663,NULL,63500,63500,NULL,NULL,NULL,NULL,2035422,2035422,NULL,NULL,NULL,NULL,2,2,NULL,24023,24023,NULL,20736558,20736558,NULL,NULL,NULL,NULL,NULL,25982697,25982697,NULL,2408395,2408395,NULL,2830339,2830339,NULL,586899,586899,NULL,NULL,NULL,708436,NULL,708436,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2882073,0,2882073,15705894,86811660,102517554
Gardena,1281,2018,NULL,6909911,6909911,NULL,194102,194102,NULL,5994920,5994920,NULL,NULL,NULL,NULL,NULL,-16110,-16110,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21478,21478,NULL,11542520,11542520,NULL,NULL,2282668,2282668,NULL,1337703,1337703,NULL,2328462,2328462,NULL,2727532,2727532,NULL,285577,285577,NULL,5088450,5088450,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8071001,8071001,2282668,44485546,46768214
Gilroy,1282,2018,NULL,8278945,8278945,NULL,331166,331166,NULL,4584341,4584341,2128889,2128889,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19107024,19107024,NULL,NULL,NULL,NULL,NULL,1722355,1722355,NULL,1713690,1713690,NULL,702486,702486,NULL,526583,526583,NULL,4666131,4666131,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,378432,NULL,378432,2507321,41632721,44140042
Glendale,1283,2018,NULL,33409762,33409762,NULL,1105633,1105633,NULL,21440587,21440587,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2185655,2185655,NULL,NULL,NULL,4867395,NULL,4867395,NULL,110359,110359,NULL,57702633,57702633,17627080,17627080,NULL,NULL,NULL,6999165,6999165,NULL,2406146,2406146,NULL,NULL,NULL,NULL,1250530,1250530,NULL,27805108,27805108,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22494475,154415578,176910053
Glendora,1284,2018,NULL,6459229,6459229,NULL,92959,92959,NULL,5423034,5423034,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,11538,11538,NULL,NULL,NULL,NULL,743342,743342,NULL,NULL,NULL,NULL,4380,4380,NULL,20639,20639,NULL,8955740,8955740,1786061,1786061,1156710,1156710,NULL,142169,142169,NULL,2235779,2235779,NULL,409943,409943,NULL,298882,298882,NULL,NULL,NULL,85959,NULL,85959,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69638,69638,3028730,24867272,27896002
Goleta,8636,2018,NULL,3172894,3172894,NULL,67198,67198,NULL,3264339,3264339,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,109880,109880,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6424757,6424757,NULL,NULL,1911560,1911560,NULL,10117460,10117460,NULL,1325238,1325238,NULL,NULL,NULL,NULL,300921,300921,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,1911560,24782687,26694247
Gonzales,1285,2018,NULL,464180,464180,NULL,19424,19424,NULL,864552,864552,NULL,NULL,NULL,NULL,NULL,5765,5765,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8385,8385,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1560951,1560951,NULL,NULL,184093,184093,NULL,2192,2192,NULL,345782,345782,NULL,60039,60039,NULL,15237,15237,NULL,254921,254921,1143186,NULL,1143186,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,176509,176509,1327279,3777937,5105216
Grand Terrace,1286,2018,NULL,569953,569953,NULL,18493,18493,NULL,1113921,1113921,NULL,NULL,NULL,NULL,NULL,8882,8882,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1125222,1125222,NULL,2886,2886,NULL,728893,728893,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,510762,510762,NULL,84309,84309,NULL,100940,100940,NULL,NULL,NULL,NULL,45743,45743,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22483,NULL,22483,22483,4310004,4332487
Grass Valley,1287,2018,NULL,2538238,2538238,NULL,60561,60561,NULL,1202162,1202162,NULL,NULL,NULL,NULL,NULL,728,728,NULL,364,364,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,170,170,NULL,NULL,NULL,NULL,5128151,5128151,NULL,NULL,NULL,NULL,NULL,818104,818104,NULL,744998,744998,NULL,206802,206802,NULL,71624,71624,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2900658,2900658,0,13672560,13672560
Greenfield,1288,2018,NULL,351679,351679,NULL,15888,15888,NULL,1490498,1490498,NULL,NULL,NULL,NULL,NULL,4405,4405,NULL,NULL,NULL,NULL,203316,203316,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1030456,1030456,NULL,NULL,NULL,NULL,NULL,24795,24795,NULL,108930,108930,NULL,36149,36149,NULL,33698,33698,NULL,303112,303112,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3256331,NULL,3256331,3256331,3602926,6859257
Gridley,1289,2018,NULL,462621,462621,NULL,6725,6725,NULL,634857,634857,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1048101,1048101,NULL,NULL,NULL,NULL,NULL,16656,16656,NULL,166609,166609,NULL,17102,17102,NULL,22123,22123,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,127006,0,127006,127006,2374794,2501800
Grover Beach,1290,2018,NULL,2279809,2279809,NULL,55217,55217,NULL,1218254,1218254,843991,843991,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45164,45164,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2116146,2116146,5000,5000,204307,204307,NULL,371168,371168,NULL,529160,529160,NULL,93737,93737,NULL,60788,60788,NULL,162653,162653,215796,NULL,215796,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16359,16359,1269094,6948455,8217549
Guadalupe,1291,2018,NULL,175966,175966,NULL,3973,3973,NULL,597901,597901,16041,16041,NULL,NULL,NULL,6510,6510,NULL,27,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,259040,259040,NULL,3780,3780,NULL,548960,548960,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,190389,190389,NULL,262969,262969,NULL,22969,22969,NULL,412481,412481,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16041,2484965,2501006
Gustine,1292,2018,NULL,531080,531080,NULL,2430,2430,NULL,388057,388057,NULL,NULL,NULL,NULL,NULL,1509,1509,NULL,NULL,NULL,89941,NULL,89941,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,668,668,NULL,559051,559051,NULL,NULL,87944,87944,NULL,NULL,NULL,NULL,82825,82825,NULL,33176,33176,NULL,11862,11862,NULL,241708,241708,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,248374,NULL,248374,426259,1852366,2278625
Half Moon Bay,1293,2018,NULL,1798256,1798256,NULL,NULL,NULL,NULL,1195229,1195229,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2813829,2813829,NULL,NULL,334298,334298,NULL,6434808,6434808,NULL,668277,668277,NULL,318815,318815,NULL,159692,159692,NULL,NULL,NULL,1065005,NULL,1065005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,226480,226480,1399303,13615386,15014689
Hanford,1294,2018,NULL,5060767,5060767,NULL,79042,79042,NULL,4789645,4789645,NULL,NULL,NULL,NULL,NULL,86163,86163,NULL,NULL,NULL,615743,NULL,615743,NULL,NULL,NULL,NULL,NULL,NULL,640996,NULL,640996,NULL,NULL,NULL,NULL,11886211,11886211,1530005,1530005,1552840,1552840,NULL,391743,391743,NULL,1080031,1080031,NULL,645499,645499,NULL,163628,163628,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,54016,54016,4339584,24236745,28576329
Hawaiian Gardens,1295,2018,NULL,-227,-227,NULL,NULL,NULL,NULL,1740013,1740013,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,241098,241098,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,876530,876530,537547,537547,329724,329724,NULL,171417,171417,NULL,222146,222146,NULL,186598,186598,NULL,33504,33504,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,867271,3471079,4338350
Hawthorne,1296,2018,NULL,5644846,5644846,NULL,NULL,NULL,NULL,9938450,9938450,NULL,NULL,NULL,NULL,NULL,5930,5930,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1216504,1216504,NULL,NULL,NULL,NULL,18498129,18498129,NULL,NULL,5049623,5049623,NULL,5412476,5412476,NULL,4703053,4703053,NULL,5614177,5614177,NULL,253815,253815,NULL,6726815,6726815,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5049623,58014195,63063818
Hayward,1297,2018,NULL,32833466,32833466,NULL,3680560,3680560,NULL,14495550,14495550,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,900631,900631,NULL,NULL,NULL,NULL,47624014,47624014,NULL,NULL,6385086,6385086,NULL,3761062,3761062,NULL,9683912,9683912,NULL,2751947,2751947,NULL,9168329,9168329,NULL,17487828,17487828,3085004,NULL,3085004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1177914,1177914,9470090,143565213,153035303
Healdsburg,1298,2018,NULL,2099228,2099228,NULL,NULL,NULL,NULL,1283559,1283559,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6852882,6852882,NULL,NULL,112438,112438,3061858,1223698,4285556,NULL,570675,570675,NULL,197733,197733,NULL,129597,129597,NULL,NULL,NULL,202369,NULL,202369,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3376665,12357372,15734037
Hemet,1299,2018,NULL,5495109,5495109,NULL,36128,36128,NULL,6495541,6495541,NULL,NULL,NULL,NULL,NULL,115179,115179,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1018307,1018307,NULL,139710,139710,NULL,22795312,22795312,NULL,NULL,1762566,1762566,NULL,1025994,1025994,NULL,5048432,5048432,NULL,397093,397093,NULL,258418,258418,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1762566,42825223,44587789
Hercules,1300,2018,NULL,1194469,1194469,NULL,39682,39682,NULL,1897812,1897812,NULL,NULL,NULL,NULL,NULL,-3764,-3764,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,123585,123585,NULL,NULL,NULL,NULL,3206095,3206095,NULL,NULL,799628,799628,NULL,9651,9651,NULL,862946,862946,NULL,187710,187710,NULL,123134,123134,NULL,3783731,3783731,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,799628,11425051,12224679
Hermosa Beach,1301,2018,NULL,14572647,14572647,NULL,367342,367342,NULL,2558273,2558273,NULL,NULL,NULL,NULL,NULL,42556,42556,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3384498,3384498,NULL,NULL,243279,243279,NULL,3295207,3295207,NULL,734503,734503,NULL,1108449,1108449,NULL,326224,326224,NULL,2229906,2229906,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,243279,28619605,28862884
Hesperia,1302,2018,4167383,494592,4661975,NULL,11290,11290,NULL,7913637,7913637,NULL,NULL,NULL,NULL,NULL,94372,94372,NULL,8949,8949,2400435,NULL,2400435,NULL,1103362,1103362,NULL,NULL,NULL,NULL,35000,35000,NULL,NULL,NULL,NULL,9283823,9283823,NULL,NULL,5170454,5170454,NULL,1295192,1295192,NULL,3359697,3359697,NULL,343799,343799,NULL,302093,302093,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,11738272,24245806,35984078
Hidden Hills,1303,2018,NULL,906651,906651,NULL,NULL,NULL,NULL,240956,240956,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28516,28516,71395,71395,1942681,1942681,NULL,NULL,NULL,NULL,72194,72194,NULL,57309,57309,NULL,148407,148407,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,2014076,1454033,3468109
Highland,1304,2018,NULL,6189966,6189966,NULL,172861,172861,NULL,4720480,4720480,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,125477,125477,NULL,1467859,1467859,359757,646161,1005918,NULL,92731,92731,NULL,41528,41528,NULL,2702065,2702065,NULL,NULL,488148,488148,NULL,179088,179088,NULL,1502402,1502402,NULL,189848,189848,NULL,160480,160480,NULL,NULL,NULL,2685138,368421,3053559,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3533043,18559367,22092410
