csvData
rank,name,pop2022,pop2010,growth,density,aland_sqmi
339,Oroville,20942,15546,0.3471,1514,13.8340
340,Stevenson Ranch,20702,17557,0.1791,3257,6.3560
341,Albany,20617,18539,0.1121,11524,1.7890
342,Shafter,20545,16988,0.2094,531,38.7230
343,Coronado,20448,18912,0.0812,2565,7.9730
344,Agoura Hills,20293,20330,-0.0018,2601,7.8010
345,Mead Valley,20081,18510,0.0849,1052,19.0840
346,La Crescenta-Montrose,20065,19653,0.0210,5853,3.4280
347,Orinda,19888,17643,0.1272,1547,12.8530
348,Lennox,19837,22753,-0.1282,18133,1.0940
349,East Hemet,19834,17418,0.1387,3814,5.2000
350,Santa Fe Springs,19819,16223,0.2217,2234,8.8730
351,Hermosa Beach,19772,19506,0.0136,13865,1.4260
352,Casa de Oro-Mount Helix,19738,18762,0.0520,2881,6.8500
353,South San Jose Hills,19715,20551,-0.0407,13074,1.5080
354,Rosedale,19555,14058,0.3910,668,29.2720
355,Arvin,19533,19304,0.0119,4053,4.8190
356,Greenfield,19459,16330,0.1916,9110,2.1360
357,South El Monte,19457,20116,-0.0328,6844,2.8430
358,Arcata,19183,17231,0.1133,2048,9.3680
359,Prunedale,19149,17560,0.0905,416,46.0620
360,Pinole,19148,18390,0.0412,3752,5.1040
361,Dixon,19116,18351,0.0417,2706,7.0650
362,Chowchilla,19103,18720,0.0205,1723,11.0860
363,Cameron Park,19011,18228,0.0430,1693,11.2270
364,Castaic,18921,19015,-0.0049,2605,7.2620
365,Arroyo Grande,18679,17252,0.0827,3146,5.9370
366,Nipomo,18468,16714,0.1049,1243,14.8530
367,Coalinga,18432,13380,0.3776,2801,6.5810
368,Laguna Woods,17934,16192,0.1076,5361,3.3450
369,Blythe,17817,20817,-0.1441,670,26.6060
370,El Segundo,17396,16654,0.0446,3184,5.4630
371,Olivehurst,17183,13656,0.2583,2303,7.4600
372,Bostonia,17182,15379,0.1172,8921,1.9260
373,Moraga,17040,16016,0.0639,1800,9.4650
374,Live Oak,17014,17158,-0.0084,5246,3.2430
375,Clearlake,16973,15250,0.1130,1676,10.1290
376,Rancho Mirage,16955,17218,-0.0153,669,25.3540
377,Truckee,16839,16180,0.0407,521,32.3320
378,Ukiah,16713,16075,0.0397,3494,4.7840
379,Fillmore,16703,15002,0.1134,4965,3.3640
380,Valle Vista,16518,14578,0.1331,2404,6.8710
381,Kerman,16510,13544,0.2190,5054,3.2670
382,Susanville,16484,17947,-0.0815,2075,7.9440
383,McKinleyville,16478,15177,0.0857,789,20.8820
384,Artesia,16369,16522,-0.0093,10098,1.6210
385,Ripon,16357,14297,0.1441,3072,5.3250
386,Parkway,16220,14670,0.1057,6747,2.4040
387,Rio Linda,16112,15106,0.0666,1630,9.8850
388,El Sobrante,16096,12669,0.2705,5821,2.7650
389,Cherryland,16024,14728,0.0880,13376,1.1980
390,Discovery Bay,15760,13352,0.1803,4175,3.7750
391,Woodcrest,15584,14347,0.0862,1370,11.3780
392,La Palma,15583,15568,0.0010,8740,1.7830
393,Alamo,15462,14570,0.0612,1598,9.6730
394,California City,15143,14120,0.0725,74,203.6110
395,East Rancho Dominguez,15110,15135,-0.0017,18382,0.8220
396,Pacific Grove,15100,15041,0.0039,5282,2.8590
397,Walnut Park,15064,15966,-0.0565,20139,0.7480
398,Red Bluff,14836,14076,0.0540,1962,7.5610
399,Alpine,14788,14236,0.0388,552,26.7860
400,Coto de Caza,14678,14866,-0.0126,1902,7.7190
401,Lemon Hill,14650,13729,0.0671,8960,1.6350
402,Parlier,14592,14494,0.0068,6057,2.4090
403,Los Osos,14503,14276,0.0159,1136,12.7630
404,McFarland,14451,12707,0.1372,5416,2.6680
405,Livingston,14394,13058,0.1023,3917,3.6750
406,El Sobrante,14303,12723,0.1242,1980,7.2250
407,Mill Valley,14297,13903,0.0283,3002,4.7630
408,Grass Valley,14248,12860,0.1079,2714,5.2490
409,Hawaiian Gardens,14129,14254,-0.0088,14904,0.9480
410,Isla Vista,13980,23096,-0.3947,7557,1.8500
411,Salida,13918,13722,0.0143,2631,5.2900
412,Oak Park,13916,13811,0.0076,2629,5.2940
413,North Fair Oaks,13895,14687,-0.0539,11598,1.1980
414,Auburn,13866,13330,0.0402,1932,7.1770
415,Lamont,13835,15120,-0.0850,3014,4.5900
416,Phelan,13771,14304,-0.0373,229,60.0920
417,North Auburn,13538,13022,0.0396,1738,7.7880
418,Emeryville,13469,10080,0.3362,10606,1.2700
419,King City,13424,12874,0.0427,3446,3.8960
420,Grand Terrace,13372,12040,0.1106,3813,3.5070
421,Lake Los Angeles,13359,12328,0.0836,1371,9.7410
422,Avenal,13334,15505,-0.1400,684,19.4860
423,Palos Verdes Estates,13329,13438,-0.0081,2792,4.7740
424,Carpinteria,13308,13040,0.0206,5142,2.5880
425,Larkspur,13292,11926,0.1145,4396,3.0240
426,Marysville,12998,12072,0.0767,3752,3.4640
427,Bonita,12993,12538,0.0363,2591,5.0150
428,Solana Beach,12955,12867,0.0068,3798,3.4110
429,San Anselmo,12928,12336,0.0480,4829,2.6770
430,Mendota,12911,11014,0.1722,3814,3.3850
431,Avocado Heights,12899,15411,-0.1630,4767,2.7060
432,Camp Pendleton South,12838,10616,0.2093,3278,3.9160
433,Lindsay,12837,11768,0.0908,4697,2.7330
434,Big Bear City,12824,12304,0.0423,401,31.9480
435,Newman,12777,10224,0.2497,6196,2.0620
